Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Beginner Two,Firefox 41.0,,2017-12-02 19:57:08,2017-12-02 19:57:28,19.908s,PASSED
,,,,,,
Test Cases/PPE Login,Firefox 41.0,,2017-12-02 19:57:08,2017-12-02 19:57:28,19.520s,PASSED
openBrowser,Firefox 41.0,,2017-12-02 19:57:09,2017-12-02 19:57:13,4.351s,PASSED
navigateToUrl,Firefox 41.0,,2017-12-02 19:57:13,2017-12-02 19:57:18,4.261s,PASSED
setText,Firefox 41.0,,2017-12-02 19:57:18,2017-12-02 19:57:18,0.270s,PASSED
setText,Firefox 41.0,,2017-12-02 19:57:18,2017-12-02 19:57:18,0.186s,PASSED
click,Firefox 41.0,,2017-12-02 19:57:18,2017-12-02 19:57:26,8.365s,PASSED
click,Firefox 41.0,,2017-12-02 19:57:26,2017-12-02 19:57:27,0.817s,PASSED
closeBrowser,Firefox 41.0,,2017-12-02 19:57:27,2017-12-02 19:57:28,0.649s,PASSED
