Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-30 15:11:59,2018-01-30 15:33:00,21m - 1.199s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-30 15:11:59,2018-01-30 15:13:30,1m - 30.911s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-30 15:12:00,2018-01-30 15:12:08,8.613s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-30 15:12:08,2018-01-30 15:12:10,1.432s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:10,2018-01-30 15:12:10,0.165s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:10,2018-01-30 15:12:10,0.145s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:12:10,2018-01-30 15:12:21,11.107s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:21,2018-01-30 15:12:21,0.362s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:12:21,2018-01-30 15:12:38,16.590s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-30 15:12:38,2018-01-30 15:12:38,0.070s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:12:38,2018-01-30 15:12:38,0.159s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:38,2018-01-30 15:12:38,0.148s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:12:38,2018-01-30 15:12:39,0.230s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:39,2018-01-30 15:12:39,0.271s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:12:39,2018-01-30 15:12:41,2.027s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:41,2018-01-30 15:12:41,0.242s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:41,2018-01-30 15:12:41,0.165s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:12:41,2018-01-30 15:12:41,0.196s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:12:41,2018-01-30 15:12:42,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:12:42,2018-01-30 15:12:55,12.856s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:12:55,2018-01-30 15:12:56,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:56,2018-01-30 15:12:57,0.245s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:12:57,2018-01-30 15:12:57,0.240s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:12:57,2018-01-30 15:13:02,5.009s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:13:02,2018-01-30 15:13:02,0.365s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:13:02,2018-01-30 15:13:07,5.009s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:13:07,2018-01-30 15:13:07,0.273s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:13:07,2018-01-30 15:13:17,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:13:17,2018-01-30 15:13:18,0.163s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:13:18,2018-01-30 15:13:22,4.010s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:13:22,2018-01-30 15:13:22,0.158s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:13:22,2018-01-30 15:13:30,8.012s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:13:30,2018-01-30 15:13:30,0.139s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-01-30 15:13:30,2018-01-30 15:22:12,8m - 41.758s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:13:30,2018-01-30 15:13:31,0.398s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:13:31,2018-01-30 15:13:35,4.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:13:35,2018-01-30 15:14:34,59.748s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:14:34,2018-01-30 15:14:37,3.007s,PASSED
Statement - Address = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Endorsement_OR/get_Address),Chrome 63.0.3239.132,,2018-01-30 15:14:37,2018-01-30 15:14:37,0.006s,PASSED
"Statement - propertyaddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(Address, ""value"")",Chrome 63.0.3239.132,,2018-01-30 15:14:37,2018-01-30 15:14:37,0.060s,PASSED
Statement - println(propertyaddress),Chrome 63.0.3239.132,,2018-01-30 15:14:37,2018-01-30 15:14:37,0.003s,PASSED
Statement - propertyaddress = propertyaddress,Chrome 63.0.3239.132,,2018-01-30 15:14:37,2018-01-30 15:14:37,0.001s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:14:37,2018-01-30 15:14:38,0.121s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:38,0.097s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:38,0.084s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:38,0.166s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:38,0.122s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:38,0.097s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:14:38,2018-01-30 15:14:43,5.247s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:14:43,2018-01-30 15:14:47,4.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:14:47,2018-01-30 15:15:01,13.814s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:01,2018-01-30 15:15:11,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:15:11,2018-01-30 15:15:11,0.172s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:11,2018-01-30 15:15:21,10.016s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:21,2018-01-30 15:15:24,3.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:15:24,2018-01-30 15:15:25,0.126s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:25,2018-01-30 15:15:25,0.169s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:25,2018-01-30 15:15:25,0.158s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:25,2018-01-30 15:15:25,0.188s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:25,2018-01-30 15:15:25,0.317s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:25,2018-01-30 15:15:30,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:30,2018-01-30 15:15:31,0.262s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:31,2018-01-30 15:15:36,5.010s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:15:36,2018-01-30 15:15:36,0.254s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:36,2018-01-30 15:15:41,5.008s,PASSED
Statement - hdnPolicyInfoId = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Generic_OR/hdnPolicyInfoId),Chrome 63.0.3239.132,,2018-01-30 15:15:41,2018-01-30 15:15:41,0.006s,PASSED
"Statement - policyInfoid = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(hdnPolicyInfoId, ""value"")",Chrome 63.0.3239.132,,2018-01-30 15:15:41,2018-01-30 15:15:41,0.045s,PASSED
Statement - policyInfoId = policyInfoid,Chrome 63.0.3239.132,,2018-01-30 15:15:41,2018-01-30 15:15:41,0.000s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:15:41,2018-01-30 15:15:46,5.232s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:46,2018-01-30 15:15:47,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:15:47,2018-01-30 15:15:55,8.101s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:55,2018-01-30 15:15:58,3.006s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:15:58,2018-01-30 15:15:58,0.107s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:15:58,2018-01-30 15:16:00,2.004s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:16:00,2018-01-30 15:16:01,0.118s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:01,2018-01-30 15:16:03,2.004s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-30 15:16:03,2018-01-30 15:16:03,0.501s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:03,2018-01-30 15:16:08,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:16:08,2018-01-30 15:16:14,5.505s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:14,2018-01-30 15:16:18,4.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:16:18,2018-01-30 15:16:23,5.104s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:23,2018-01-30 15:16:27,4.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:16:27,2018-01-30 15:16:32,5.106s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:32,2018-01-30 15:16:36,4.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:16:36,2018-01-30 15:16:41,5.145s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:41,2018-01-30 15:16:46,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:16:46,2018-01-30 15:16:52,6.486s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:16:52,2018-01-30 15:16:57,5.009s,PASSED
check,Chrome 63.0.3239.132,,2018-01-30 15:16:57,2018-01-30 15:17:03,5.136s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:17:03,2018-01-30 15:17:13,10.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:17:13,2018-01-30 15:17:18,5.183s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:17:18,2018-01-30 15:17:23,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:17:23,2018-01-30 15:17:45,21.785s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:17:45,2018-01-30 15:17:50,5.007s,PASSED
Statement - getInsuredName = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application_OR/get_INSUREDNAME_APPLICATION FORMSUMMARY)),Chrome 63.0.3239.132,,2018-01-30 15:17:50,2018-01-30 15:17:50,0.066s,PASSED
Statement - println(getInsuredName),Chrome 63.0.3239.132,,2018-01-30 15:17:50,2018-01-30 15:17:50,0.000s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:17:50,2018-01-30 15:17:53,3.399s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:17:53,2018-01-30 15:17:58,5.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:17:58,2018-01-30 15:18:03,5.110s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-30 15:18:03,2018-01-30 15:18:08,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-30 15:18:08,2018-01-30 15:18:08,0.211s,PASSED
click,Chrome 63.0.3239.132,,2018-01-30 15:18:08,2018-01-30 15:18:14,5.131s,PASSED
"Statement - otpQuery = ""SELECT TOP 1 OtpGenerated FROM PPE_ApplicationForms_trn where PolicyInfoId = "" + policyInfoId + "" Order BY ModifiedDateTime DESC""",Chrome 63.0.3239.132,,2018-01-30 15:18:14,2018-01-30 15:18:14,0.000s,PASSED
"Statement - println(""otpQuery"" + "" "" + otpQuery)",Chrome 63.0.3239.132,,2018-01-30 15:18:14,2018-01-30 15:18:14,0.002s,PASSED
