Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Searching_Property_Address,Firefox 41.0,,2017-12-05 15:17:04,2017-12-05 15:19:01,1m - 56.972s,FAILED
,,,,,,
Test Cases/Searching property Address,Firefox 41.0,,2017-12-05 15:17:04,2017-12-05 15:19:01,1m - 56.246s,FAILED
openBrowser,Firefox 41.0,,2017-12-05 15:17:05,2017-12-05 15:17:09,3.984s,PASSED
navigateToUrl,Firefox 41.0,,2017-12-05 15:17:09,2017-12-05 15:17:14,4.927s,PASSED
setText,Firefox 41.0,,2017-12-05 15:17:14,2017-12-05 15:17:14,0.209s,PASSED
setText,Firefox 41.0,,2017-12-05 15:17:14,2017-12-05 15:17:14,0.149s,PASSED
click,Firefox 41.0,,2017-12-05 15:17:14,2017-12-05 15:17:26,11.827s,PASSED
setText,Firefox 41.0,,2017-12-05 15:17:26,2017-12-05 15:17:26,0.279s,PASSED
click,Firefox 41.0,,2017-12-05 15:17:26,2017-12-05 15:18:25,58.408s,PASSED
waitForPageLoad,Firefox 41.0,,2017-12-05 15:18:25,2017-12-05 15:18:25,0.055s,PASSED
click,Firefox 41.0,,2017-12-05 15:18:25,2017-12-05 15:18:25,0.194s,PASSED
click,Firefox 41.0,,2017-12-05 15:18:25,2017-12-05 15:18:29,3.886s,PASSED
waitForPageLoad,Firefox 41.0,,2017-12-05 15:18:29,2017-12-05 15:18:29,0.018s,PASSED
click,Firefox 41.0,,2017-12-05 15:18:29,2017-12-05 15:19:01,31.584s,FAILED
