Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-31 15:58:50,2018-01-31 15:59:08,17.573s,PASSED
,,,,,,
Test Cases/Data_Driven_Testing,Chrome 63.0.3239.132,,2018-01-31 15:58:50,2018-01-31 15:59:06,16.041s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-31 15:58:51,2018-01-31 15:58:58,7.339s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-31 15:58:58,2018-01-31 15:58:59,1.449s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Get_Data_Using_Script),Chrome 63.0.3239.132,,2018-01-31 15:58:59,2018-01-31 15:58:59,0.017s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 1))),Chrome 63.0.3239.132,,2018-01-31 15:58:59,2018-01-31 15:58:59,0.007s,PASSED
"Statement - state = data.internallyGetValue(0, 0)",Chrome 63.0.3239.132,,2018-01-31 15:58:59,2018-01-31 15:59:00,0.001s,PASSED
"Statement - println(""State is"" + "" "" + state)",Chrome 63.0.3239.132,,2018-01-31 15:59:00,2018-01-31 15:59:00,0.003s,PASSED
"Statement - If (state == ""GA"")",Chrome 63.0.3239.132,,2018-01-31 15:59:00,2018-01-31 15:59:00,0.001s,PASSED
Statement - Else,Chrome 63.0.3239.132,,2018-01-31 15:59:00,2018-01-31 15:59:06,6.376s,PASSED
"Statement - If (state == ""GA"")",Chrome 63.0.3239.132,,2018-01-31 15:59:06,2018-01-31 15:59:06,0.001s,PASSED
Statement - Else,Chrome 63.0.3239.132,,2018-01-31 15:59:06,2018-01-31 15:59:06,0.374s,PASSED
