Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Searching_Property_Address,Firefox 41.0,,2017-12-06 13:07:41,2017-12-06 13:08:31,49.820s,FAILED
,,,,,,
Test Cases/Searching property Address,Firefox 41.0,,2017-12-06 13:07:42,2017-12-06 13:08:31,49.064s,FAILED
"Statement - info = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Prepare_property_Address), [:], STOP_ON_FAILURE)",Firefox 41.0,,2017-12-06 13:07:42,2017-12-06 13:07:44,1.348s,PASSED
Statement - address = address,Firefox 41.0,,2017-12-06 13:07:44,2017-12-06 13:07:44,0.001s,PASSED
openBrowser,Firefox 41.0,,2017-12-06 13:07:44,2017-12-06 13:07:48,4.454s,PASSED
maximizeWindow,Firefox 41.0,,2017-12-06 13:07:48,2017-12-06 13:07:49,0.405s,PASSED
navigateToUrl,Firefox 41.0,,2017-12-06 13:07:49,2017-12-06 13:07:53,4.713s,PASSED
setText,Firefox 41.0,,2017-12-06 13:07:53,2017-12-06 13:07:53,0.207s,PASSED
setText,Firefox 41.0,,2017-12-06 13:07:53,2017-12-06 13:07:54,0.131s,PASSED
click,Firefox 41.0,,2017-12-06 13:07:54,2017-12-06 13:07:56,2.576s,PASSED
setText,Firefox 41.0,,2017-12-06 13:07:56,2017-12-06 13:07:56,0.138s,PASSED
click,Firefox 41.0,,2017-12-06 13:07:56,2017-12-06 13:07:59,2.965s,PASSED
waitForPageLoad,Firefox 41.0,,2017-12-06 13:07:59,2017-12-06 13:07:59,0.073s,PASSED
setText,Firefox 41.0,,2017-12-06 13:07:59,2017-12-06 13:08:31,31.354s,FAILED
