Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-18 17:56:33,2018-01-18 18:02:28,5m - 55.215s,ERROR
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-18 17:56:33,2018-01-18 17:58:31,1m - 57.680s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-18 17:56:34,2018-01-18 17:56:41,7.111s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-18 17:56:41,2018-01-18 17:56:42,1.426s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:56:42,2018-01-18 17:56:43,0.217s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:56:43,2018-01-18 17:56:43,0.184s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:56:43,2018-01-18 17:57:00,17.087s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:00,2018-01-18 17:57:00,0.379s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:57:00,2018-01-18 17:57:16,15.820s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-18 17:57:16,2018-01-18 17:57:16,0.052s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 17:57:16,2018-01-18 17:57:16,0.122s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:16,2018-01-18 17:57:16,0.102s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 17:57:16,2018-01-18 17:57:17,0.383s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:17,2018-01-18 17:57:17,0.398s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:57:17,2018-01-18 17:57:19,2.023s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:19,2018-01-18 17:57:19,0.320s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:19,2018-01-18 17:57:20,0.096s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:57:20,2018-01-18 17:57:25,5.132s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:57:25,2018-01-18 17:57:26,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:57:26,2018-01-18 17:57:43,17.287s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:57:43,2018-01-18 17:57:44,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:44,2018-01-18 17:57:45,0.574s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:45,2018-01-18 17:57:45,0.204s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:57:45,2018-01-18 17:57:55,10.015s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:57:55,2018-01-18 17:57:55,0.286s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:57:55,2018-01-18 17:58:05,10.015s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:05,2018-01-18 17:58:05,0.372s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:58:05,2018-01-18 17:58:15,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:58:15,2018-01-18 17:58:21,5.173s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 17:58:21,2018-01-18 17:58:21,0.132s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:58:21,2018-01-18 17:58:26,5.010s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:58:26,2018-01-18 17:58:31,5.211s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-01-18 17:58:31,2018-01-18 18:01:53,3m - 22.211s,ERROR
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:31,2018-01-18 17:58:32,0.861s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:58:32,2018-01-18 17:58:44,12.276s,PASSED
Statement - Address = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Endorsement_OR/get_Address),Chrome 63.0.3239.132,,2018-01-18 17:58:44,2018-01-18 17:58:44,0.013s,PASSED
"Statement - propertyaddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(Address, ""value"")",Chrome 63.0.3239.132,,2018-01-18 17:58:44,2018-01-18 17:58:45,0.692s,PASSED
Statement - println(propertyaddress),Chrome 63.0.3239.132,,2018-01-18 17:58:45,2018-01-18 17:58:45,0.004s,PASSED
Statement - propertyaddress = propertyaddress,Chrome 63.0.3239.132,,2018-01-18 17:58:45,2018-01-18 17:58:45,0.001s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 17:58:45,2018-01-18 17:58:46,0.791s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:46,2018-01-18 17:58:46,0.172s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:46,2018-01-18 17:58:46,0.226s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 17:58:46,2018-01-18 17:58:47,0.166s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:47,2018-01-18 17:58:47,0.173s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:58:47,2018-01-18 17:58:47,0.377s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:58:47,2018-01-18 17:58:47,0.346s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:58:47,2018-01-18 17:58:48,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:58:48,2018-01-18 17:59:28,40.009s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:59:28,2018-01-18 17:59:38,10.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:59:38,2018-01-18 17:59:39,0.146s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:59:39,2018-01-18 17:59:49,10.015s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:59:49,2018-01-18 17:59:52,3.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:52,0.084s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:52,0.168s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:52,0.137s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:52,0.142s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:52,0.274s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:59:52,2018-01-18 17:59:57,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:59:57,2018-01-18 17:59:58,0.256s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 17:59:58,2018-01-18 18:00:03,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 18:00:03,2018-01-18 18:00:03,0.197s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:03,2018-01-18 18:00:08,5.008s,PASSED
Statement - hdnPolicyInfoId = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Generic_OR/hdnPolicyInfoId),Chrome 63.0.3239.132,,2018-01-18 18:00:08,2018-01-18 18:00:08,0.004s,PASSED
"Statement - policyInfoid = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(hdnPolicyInfoId, ""value"")",Chrome 63.0.3239.132,,2018-01-18 18:00:08,2018-01-18 18:00:08,0.036s,PASSED
Statement - policyInfoId = policyInfoid,Chrome 63.0.3239.132,,2018-01-18 18:00:08,2018-01-18 18:00:08,0.000s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:08,2018-01-18 18:00:08,0.251s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:08,2018-01-18 18:00:09,1.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:09,2018-01-18 18:00:11,1.340s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:11,2018-01-18 18:00:14,3.005s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 18:00:14,2018-01-18 18:00:14,0.134s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:14,2018-01-18 18:00:16,2.003s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 18:00:16,2018-01-18 18:00:16,0.230s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:16,2018-01-18 18:00:18,2.004s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 18:00:18,2018-01-18 18:00:18,0.178s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:18,2018-01-18 18:00:23,5.010s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:23,2018-01-18 18:00:23,0.219s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:23,2018-01-18 18:00:24,1.002s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:24,2018-01-18 18:00:24,0.105s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:24,2018-01-18 18:00:25,1.005s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:25,2018-01-18 18:00:25,0.073s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:25,2018-01-18 18:00:26,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:26,2018-01-18 18:00:27,0.111s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:27,2018-01-18 18:00:32,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:32,2018-01-18 18:00:33,1.243s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:33,2018-01-18 18:00:38,5.007s,PASSED
check,Chrome 63.0.3239.132,,2018-01-18 18:00:38,2018-01-18 18:00:38,0.103s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:38,2018-01-18 18:00:48,10.018s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:48,2018-01-18 18:00:48,0.170s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:00:48,2018-01-18 18:00:53,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:00:53,2018-01-18 18:01:23,29.793s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:01:23,2018-01-18 18:01:28,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:01:28,2018-01-18 18:01:28,0.160s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:01:28,2018-01-18 18:01:33,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:01:33,2018-01-18 18:01:33,0.098s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 18:01:33,2018-01-18 18:01:38,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 18:01:38,2018-01-18 18:01:38,0.205s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 18:01:38,2018-01-18 18:01:39,0.092s,PASSED
"Statement - otpQuery = ""SELECT TOP 1 OtpGenerated FROM PPE_ApplicationForms_trn where PolicyInfoId = "" + policyInfoId + "" Order BY ModifiedDateTime DESC""",Chrome 63.0.3239.132,,2018-01-18 18:01:39,2018-01-18 18:01:39,0.001s,PASSED
"Statement - println(""otpQuery"" + "" "" + otpQuery)",Chrome 63.0.3239.132,,2018-01-18 18:01:39,2018-01-18 18:01:39,0.002s,PASSED
com.PPE.Database_Connection.connectDB,Chrome 63.0.3239.132,Connect to DB,2018-01-18 18:01:39,2018-01-18 18:01:53,14.722s,ERROR
,,,,,,
Test Cases/ENDORSEMENT_CREATION,Chrome 63.0.3239.132,,2018-01-18 18:01:53,2018-01-18 18:02:27,33.504s,FAILED
click,Chrome 63.0.3239.132,,2018-01-18 18:01:53,2018-01-18 18:02:27,33.359s,FAILED
